Title,Authors,Year,Citation Count,Source URLs
The Economics of Exhaustible Resources,['Harold Hotelling'],1991,4,"['https://doi.org/10.1016/s0092-8240(05)80050-3', 'https://doi.org/10.1007/bf02464433', 'https://doi.org/10.1057/9780230523210_12', 'https://doi.org/10.1086/254195', 'https://doi.org/10.1007/978-1-4613-8905-7_5']"
"A Review of ""The Stern Review on the Economics of Climate Change",['William D. Nordhaus'],2007,4,
The Economics of Superstars,['Sherwin Rosen'],1983,4,"['https://EconPapers.repec.org/RePEc:aea:aecrev:v:73:y:1983:i:3:p:460-62', 'https://doi.org/10.2307/j.ctv1kz4h99.12']"
The Economics of Immigration,['George J. Borjas'],1994,4,['https://doi.org/10.4324/9781315054193-1']
A Perspective on Psychology and Economics,['Matthew Rabin'],2002,4,"['https://escholarship.org/uc/item/4z78n1r9', 'https://econpapers.repec.org/RePEc:wpa:wuwpgt:0303003', 'https://www.escholarship.org/uc/item/2wr3z049']"
The Economics of HIV/AIDS in Low-Income Countries: The Case for Prevention,['David Canning'],2006,4,"['https://doi.org/10.1257/jep.20.3.121', 'https://econpapers.repec.org/RePEc:gdm:wpaper:1806']"
Applying Insights From Behavioral Economics to Policy Design,['Brigitte C. Madrian'],2014,4,"['https://ojs.unbc.ca/index.php/design/article/download/1480/1222', 'https://EconPapers.repec.org/RePEc:nbr:nberwo:20318', 'https://doi.org/10.1146/annurev-economics-080213-041033', 'https://doi.org/10.3386/w20318']"
"The Economics of Modern Manufacturing: Technology, Strategy, and Organization","['Paul Milgrom', 'John Roberts']",1990,4,"['https://ideas.repec.org/a/aea/aecrev/v85y1995i4p997-99.html', 'https://econpapers.repec.org/article/aeaaecrev/v_3a80_3ay_3a1990_3ai_3a3_3ap_3a511-28.htm']"
Some Economics of Global Warming,['Thomas C. Schelling'],1992,4,['https://econpapers.repec.org/article/aeaaecrev/v_3a82_3ay_3a1992_3ai_3a1_3ap_3a1-14.htm']
Three Basic Postulates for Applied Welfare Economics: An Interpretive Essay,['Arnold C. Harberger'],1971,4,['http://qed.econ.queensu.ca/faculty/kuog/references/D2+Harberger_basic_postulates.pdf']
Development Economics Through the Lens of Psychology,['Sendhil Mullainathan'],2004,4,['https://normativenarratives.files.wordpress.com/2013/08/dev-econ-from-through-lense-of-psychology.pdf']
Sir Robert Giffen and the Great Potato Famine: A Discussion of the Role of a Legend in Neoclassical Economics,"['Terrence McDonough', 'Joseph Eisenhauer']",1995,4,['https://doi.org/10.1080/00213624.1995.11505707']
Environmental Economics and the Conflation of Value and Benefit,['Mark Sagoff'],2000,4,['https://doi.org/10.1021/es990674d']
The Economics of Organization: The Transaction Cost Approach,['Oliver E. Williamson'],1981,3,['https://doi.org/10.1086/227496']
Regression Discontinuity Designs in Economics,"['David S. Lee', 'Thomas Lemieux']",2010,3,"['https://doi.org/10.3386/w14723', 'http://www.nber.org/papers/w14723.pdf', 'https://econpapers.repec.org/RePEc:pri:indrel:548']"
The New Economics of Organization,['Terry M. Moe'],1984,3,['https://doi.org/10.2307/2110997']
The Lighthouse in Economics,['Ronald H. Coase'],1974,3,"['https://doi.org/10.1086/466796', 'https://chicagounbound.uchicago.edu/book_chapters/641/']"
"The Economist as Engineer: Game Theory, Experimentation, and Computation as Tools for Design Economics",['Alvin E. Roth'],2002,3,['https://doi.org/10.1111/1468-0262.00335']
Putting Behavioral Economics to Work: Testing for Gift Exchange in Labor Markets Using Field Experiments,"['Uri Gneezy', 'John A. List']",2006,3,"['https://openlibrary.org/works/OL12043067W', 'https://doi.org/10.1111/j.1468-0262.2006.00707.x', 'https://doi.org/10.3386/w12063', 'https://econpapers.repec.org/RePEc:feb:natura:00259']"
The Neoclassical Revival in Growth Economics: Has It Gone Too Far?,"['Peter J. Klenow', 'Andrés Rodrı́guez-Clare', 'Andrés Rodrı́guez-Clare']",1997,3,"['https://doi.org/10.1086/654324', 'http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.364.1298']"
The Economics of Child Labor,"['Kaushik Basu', 'Van H. Pham']",1998,3,"['https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1318683', 'https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1318648', 'https://doi.org/10.1038/scientificamerican1003-84', 'https://doi.org/10.1257/aer.89.5.1386', 'https://EconPapers.repec.org/RePEc:aea:aecrev:v:88:y:1998:i:3:p:412-27']"
The Economics of Education,['Elchanan Cohn'],1972,3,"['https://doi.org/10.2307/1057569', 'https://openlibrary.org/works/OL4465951W', 'https://doi.org/10.1016/0272-7757(84)90013-x']"
Using Experimental Economics to Measure Social Capital and Predict Financial Decisions,['Dean Karlan'],2005,3,"['http://hdl.handle.net/10419/98394', 'https://EconPapers.repec.org/RePEc:pri:rpdevs:karlan_using_experimental_economics_to_measure_social_capital_aer.pdf']"
The Simple Economics of Optimal Auctions,"['Jeremy Bulow', 'John L. Roberts']",1989,3,['http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.186.4304']
On Modeling and Interpreting the Economics of Catastrophic Climate Change,['Martin L. Weitzman'],2009,3,"['http://nrs.harvard.edu/urn-3:HUL.InstRepos:3693423', 'http://ideas.repec.org/p/hrv/faseco/3693423.html']"
The American Family and Family Economics,"['Shelly Lundberg', 'Robert A. Pollak']",2007,3,"['https://openlibrary.org/works/OL5892354W', 'https://doi.org/10.1257/jep.21.2.3', 'https://autopapers.ssrn.com/sol3/papers.cfm?abstract_id=963741', 'https://econpapers.repec.org/paper/izaizadps/dp2715.htm', 'https://econpapers.repec.org/RePEc:iza:izadps:dp2715', 'https://doi.org/10.3386/w12908']"
The Economics of Overexploitation,['Colin W. Clark'],1973,3,['https://doi.org/10.1126/science.181.4100.630']
Economics in a Family Way,['Theodore C. Bergstrom'],1996,3,['https://escholarship.org/content/qt0n9376rh/qt0n9376rh.pdf']
Understanding the Economics of QWERTY: The Necessity of History,['Paul A. David'],1986,3,['https://ci.nii.ac.jp/naid/10030364595/']
The Economics of Fisheries Management,"['Gordon R. Munro', 'Anthony Scott']",1985,3,['https://EconPapers.repec.org/RePEc:eee:natchp:2-14']
The Simple Economics of Health Reform,['David M. Cutler'],2010,3,"['https://doi.org/10.2202/1553-3832.1816', 'https://doi.org/10.7312/columbia/9780231160155.003.0002']"
Quasi-Experimental and Experimental Approaches to Environmental Economics,"['Michael Greenstone', 'Ted Gayer']",2007,3,"['http://hdl.handle.net/1721.1/45128', 'https://econpapers.repec.org/paper/meewpaper/0713.htm', 'http://dspace.mit.edu/handle/1721.1/51856']"
The Economics of Using Plug-in Hybrid Electric Vehicle Battery Packs for Grid Storage,"['Scott Peterson', 'Jay Whitacre', 'Jay Apt']",2010,3,['https://doi.org/10.1016/j.jpowsour.2009.09.070']
Fairness and Retaliation: The Economics of Reciprocity,"['Ernst Fehr', 'Simon G.ächter']",2000,2,"['https://www.cesifo.org/DocDL/cesifo_wp336.pdf', 'http://hdl.handle.net/10419/75602', 'https://doi.org/10.1007/978-1-349-62745-5_7', 'https://doi.org/10.2307/j.ctvcm4j8j.23']"
Neuroeconomics: How Neuroscience Can Inform Economics,"['Colin F. Camerer', 'George Loewenstein', 'Dražen Prelec']",2005,2,"['https://resolver.caltech.edu/CaltechAUTHORS:20110204-090937872', 'https://doi.org/10.7551/mitpress/2604.003.0010', 'https://econpapers.repec.org/paper/clalevrem/506439000000000484.htm', 'https://doi.org/10.1111/j.0347-0520.2004.00377.x', 'https://resolver.caltech.edu/CaltechAUTHORS:CAMej07', 'https://autopapers.ssrn.com/sol3/papers.cfm?abstract_id=623342', 'https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID590965_code69040.pdf?abstractid=590965&mirid=1', 'https://authors.library.caltech.edu/8351/', 'https://doi.org/10.1016/j.neuron.2008.10.027']"
Evolutionary Theorizing in Economics,"['Richard R. Nelson', 'Sidney G. Winter']",2002,2,['http://www.aeaweb.org/articles.php?doi=10.1257/0895330027247']
The Credibility Revolution in Empirical Economics: How Better Research Design Is Taking the Con Out of Econometrics,"['Joshua D. Angrist', 'J.örn‐Steffen Pischke']",2010,2,"['http://cep.lse.ac.uk/pubs/download/dp0976.pdf', 'https://doi.org/10.3386/w15794', 'https://eric.ed.gov/?id=ED508843', 'https://doi.org/10.1257/jep.24.2.3', 'https://econpapers.repec.org/RePEc:iza:izadps:dp4800']"
Economics and Emigration: Trillion-Dollar Bills on the Sidewalk?,['Michael A. Clemens'],2011,2,"['https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1912544_code794896.pdf?abstractid=1912544&mirid=1', 'http://www.aeaweb.org/articles.php?doi=10.1257/jep.25.3.83', 'https://econpapers.repec.org/RePEc:cgd:wpaper:265']"
Personnel Economics,['Edward P. Lazear'],2007,2,"['https://openlibrary.org/works/OL18358172W', 'https://openlibrary.org/works/OL2640843W', 'https://doi.org/10.3386/w13480', 'https://autopapers.ssrn.com/sol3/papers.cfm?abstract_id=153393', 'https://doi.org/10.1086/209918', 'https://doi.org/10.3386/w13653', 'https://doi.org/10.1057/9781137336583.1375', 'https://doi.org/10.1057/9780230226203.1275', 'https://doi.org/10.7551/mitpress/5311.001.0001', 'https://EconPapers.repec.org/RePEc:nbr:nberwo:13653', 'https://econpapers.repec.org/RePEc:nbr:nberwo:6957', 'https://doi.org/10.3386/w6957', 'http://papers.nber.org/papers/w13653.pdf', 'https://doi.org/10.1057/978-1-349-95121-5_2254-1', 'https://doi.org/10.1057/978-1-349-95189-5_2254']"
Economics and Identity,"['George A. Akerlof', 'Rachele Kranton']",2000,2,"['https://open.library.ubc.ca/handle/2429/15962', 'https://doi.org/10.1093/oso/9780199253906.003.0005', 'https://doi.org/10.1162/003355300554881']"
Environmental Economics: A Survey,"['Maureen L. Cropper', 'Wallace E. Oates']",1992,2,['https://econpapers.repec.org/RePEc:aea:jeclit:v:30:y:1992:i:2:p:675-740']
The Economics of Structured Finance,"['Joshua Coval', 'Jakub Jurek', 'Erik Stafford']",2009,2,"['https://openlibrary.org/works/OL37168060W', 'https://papers.ssrn.com/sol3/papers.cfm?abstract_id=90539', 'https://doi.org/10.2139/ssrn.1287363', 'https://doi.org/10.3905/jfi.1997.408210', 'https://doi.org/10.1257/jep.23.1.3']"
Growth Theory Through the Lens of Development Economics,"['Abhijit Banerjee', 'Esther Duflo']",2004,2,"['https://openlibrary.org/works/OL15723398W', 'https://ideas.repec.org/h/eee/grochp/1-07.html', 'https://EconPapers.repec.org/RePEc:eee:grochp:1-07', 'http://hdl.handle.net/1721.1/63678']"
Economics of Information and Job Search,['John Joseph McCall'],1968,2,"['https://openlibrary.org/works/OL6406214W', 'https://doi.org/10.2307/1880498', 'https://doi.org/10.2307/1879403']"
The Arbitrage Principle in Financial Economics,['Hal R. Varian'],1987,2,['https://doi.org/10.1257/jep.1.2.55']
Quasi Rational Economics,['Richard H. Thaler'],1991,2,"['https://doi.org/10.2307/2329014', 'https://openlibrary.org/works/OL3936257W']"
The Economics of Schooling: Production and Efficiency in Public Schools,['Eric A. Hanushek'],1986,2,"['https://openlibrary.org/works/OL12629990W', 'https://www.jstor.org/stable/pdfplus/2725865.pdf']"
Does the Past Have Useful Economics?,['Deirdre N. McCloskey'],1976,2,"['https://www.taylorfrancis.com/chapters/past-useful-economics-mccloskey/10.4324/9781315888897-10', 'https://doi.org/10.1017/cbo9781139174244.004', 'https://EconPapers.repec.org/RePEc:aea:jeclit:v:14:y:1976:i:2:p:434-61']"
Behavioral Economics and Public Policy: A Pragmatic Perspective,['Raj Chetty'],2015,2,"['https://doi.org/10.3386/w20928', 'http://nrs.harvard.edu/urn-3:HUL.InstRepos:34330194', 'https://dash.harvard.edu/handle/1/34330194', 'https://EconPapers.repec.org/RePEc:nbr:nberwo:20928']"
An Introduction to the Law and Economics of Intellectual Property,"['Stanley M. Besen', 'Leo J. Raskind']",1991,2,['https://doi.org/10.1257/jep.5.1.3']
Does Studying Economics Inhibit Cooperation?,"['Robert H. Frank', 'Thomas Gilovich', 'Dennis T. Regan']",1993,2,['https://doi.org/10.1257/jep.7.2.159']
The Simple Economics of Basic Scientific Research,['Richard R. Nelson'],1959,2,['http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.643.8313']
The Private and Public Economics of Renewable Electricity Generation,['Severin Borenstein'],2011,2,"['https://openlibrary.org/works/OL16531332W', 'https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1976511', 'https://doi.org/10.3386/w17695', 'http://www.aeaweb.org/jep/app/2601_Borenstein_app.pdf']"
The Economics of Rotating Savings and Credit Associations,"['Timothy Besley', 'Stephen Coate', 'Glenn C. Loury']",1990,2,"['https://EconPapers.repec.org/RePEc:fth:priwds:149', 'https://www.isid.ac.in/~tridip/Teaching/DevelopmentMicroeconomics/Readings/Besley&Coate&Loury-AER1993.pdf', 'https://openlibrary.org/works/OL15712684W']"
Fairness and the Assumptions of Economics,"['Daniel Kahneman', 'Jack L. Knetsch', 'Richard H. Thaler']",1986,2,['https://doi.org/10.1086/296367']
Prejudice and Wages: An Empirical Assessment of Becker's <i>The Economics of Discrimination</I,"['Kerwin Kofi Charles', 'Jonathan Guryan']",2008,2,['https://doi.org/10.1086/593073']
Energy Efficiency Economics and Policy,"['Kenneth Gillingham', 'Richard G. Newell', 'Karen Palmer']",2009,2,"['http://hdl.handle.net/10161/6993', 'https://doi.org/10.3386/w15031', 'https://openlibrary.org/works/OL13853802W']"
The Personnel Economics of the State,"['Frederico Finan', 'Benjamin A. Olken', 'Rohini Pande']",2015,2,"['https://ideas.repec.org/p/nbr/nberwo/21825.html', 'https://doi.org/10.3386/w21825', 'https://econpapers.repec.org/RePEc:nbr:nberwo:21825']"
Quantitative Spatial Economics,"['Stephen J. Redding', 'Esteban Rossi‐Hansberg']",2016,2,"['http://cep.lse.ac.uk/pubs/download/dp1452.pdf', 'https://doi.org/10.3386/w22655', 'https://EconPapers.repec.org/RePEc:ess:wpaper:id:11340']"
Organizational Economics: Notes on the Use of Transaction-Cost Theory in the Study of Organizations,['James Arthur Robins'],1987,2,['https://doi.org/10.2307/2392743']
The Economics of HIV/AIDS: A Survey,['Edoardo Gaffeo'],2003,2,"['https://doi.org/10.1111/1467-7679.00197', 'https://papers.ssrn.com/sol3/Delivery.cfm/dpr197.pdf?abstractid=376568&mirid=1']"
Abnormal Economics in the Health Sector,['William C. Hsiao'],1995,2,['https://doi.org/10.1016/0168-8510(95)00731-7']
Fundamental Economics of Depletable Energy Supply,"['Jeffrey A. Krautkraemer', 'Michael A. Toman']",2003,2,['https://www.rff.org/files/sharepoint/WorkImages/Download/RFF-DP-03-01.pdf']
Educational Policy and the Economics of the Family,['Abhijit Banerjee'],2003,2,"['http://hdl.handle.net/1721.1/63566', 'https://openlibrary.org/works/OL15720024W', 'https://ideas.repec.org/p/ess/wpaper/id1186.html']"
"The Economics of Invention Incentives: Patents, Prizes, and Research Contracts",['Brian D. Wright'],1983,2,['http://www.cptech.org/ip/health/prizefund/files/wright-prizepaper.pdf']
Behavioral Economics and Health Economics,['Richard G. Frank'],2004,2,"['https://openlibrary.org/works/OL2874739W', 'https://papers.ssrn.com/sol3/delivery.cfm/nber_W10881.pdf?abstractid=612083', 'http://papers.nber.org/papers/w10881.pdf', 'https://econpapers.repec.org/paper/nbrnberwo/10881.htm', 'https://doi.org/10.3386/w10881']"
The Economics of Place-Making Policies,"['Edward L. Glaeser', 'Joshua D. Gottlieb']",2008,2,"['http://www.nber.org/papers/w14373', 'https://EconPapers.repec.org/RePEc:nbr:nberwo:14373', 'https://doi.org/10.3386/w14373', 'http://www.nber.org/papers/w14373.pdf']"
Notes on Behavioral Economics and Labor Market Policy,"['Linda Babcock', 'William J. Congdon', 'Lawrence F. Katz', 'Sendhil Mullainathan']",2012,2,"['https://doi.org/10.1186/2193-9004-1-2', 'https://econpapers.repec.org/RePEc:hrv:faseco:11870387']"
Applied Regression Analysis for Business and Economics,['Terry E. Dielman'],1991,2,"['https://doi.org/10.2307/2532185', 'https://openlibrary.org/works/OL2935427W']"
Mapping the Economics of Education,['Henry M. Levin'],1989,2,['https://doi.org/10.3102/0013189x018004013']
An Approach to Incorporating Psychology Into Economics,['Matthew Rabin'],2013,2,['https://doi.org/10.1257/aer.103.3.617']
The Power of Bias in Economics Research,"['John P. A. Ioannidis', 'T. D. Stanley', 'Hristos Doucouliagos']",2017,2,['https://doi.org/10.1111/ecoj.12461']
"On Doctors, Mechanics, and Computer Specialists: The Economics of Credence Goods","['Uwe Dulleck', 'Rudolf Kerschbamer']",2006,2,"['https://doi.org/10.1257/002205106776162717', 'https://eprints.qut.edu.au/8572/', 'https://pubs.aeaweb.org/doi/pdfplus/10.1257/002205106776162717', 'https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID870788_code202660.pdf?abstractid=870788&mirid=1']"
The Economics of Malaria Control,['Jeffrey S. Hammer'],1993,2,['https://doi.org/10.1093/wbro/8.1.1']
Transaction-Cost Economics in Real Time,['Richard N. Langlois'],1992,2,"['https://doi.org/10.1093/icc/1.1.99', 'https://doi.org/10.1093/oso/9780198781806.003.0020']"
